st_code,dt_code,state,district,current_ac_cr,savings_ac_cr,deposit_cr,credit_cr,population,housing_loan_cr,con_durable_loan_cr,auto_loan_cr,education_loan_cr,cc_loan_cr,others_loan_cr
18,325,ASSAM,DARRANG,149.6,1558,2611.9,2182,1323874,275.7,2.7,131.5,15.1,18.3,648.4
18,308,ASSAM,DHEMAJI,153.3,1048.8,1703.8,1618.4,918665,218.8,4.9,98.7,6.6,5.3,683.2
18,301,ASSAM,DHUBRI,220.8,1995.6,3406.3,2209.9,1788760,242.8,1.1,86.1,8,14.7,889.5
18,310,ASSAM,DIBRUGARH,680.3,5647.2,14150.7,7558.6,1980011,896.7,18.3,730.9,40.1,44.6,1987.8
18,302,ASSAM,GOALPARA,168.9,1577,2583.3,1727.6,1346682,154.7,2.2,149.6,6.8,17.6,562.6
18,313,ASSAM,GOLAGHAT,253.8,2221.2,4093.6,3923,1707975,379.7,4,289.3,17.5,27.7,1049
18,318,ASSAM,HAILAKANDI,92.9,1232.6,1929.9,839,982307,89.3,0.6,18.5,2.6,3.8,363.3
18,757,ASSAM,HOJAI,151.6,877.5,1532.7,882.2,1441417,94,0.2,49.1,3.6,17.7,283.2
18,312,ASSAM,JORHAT,494.2,4239.3,8883,6012.5,1349926,1052.4,6.8,694.9,43.9,38.6,1641.5
18,321,ASSAM,KAMRUP,389.6,3829.3,6924.6,4441.2,2029182,656.3,6.3,174.2,61.5,20.9,1369.1
18,322,ASSAM,KAMRUP METROPOLITAN,6491.4,28858.4,83961.7,52381,1841857,7517.7,78.9,4385.8,289.6,320.9,10974.3
18,314,ASSAM,KARBI ANGLONG,175.5,842.3,1617.8,1158.6,901301,93.6,1.8,93.7,2.8,8,676.1
18,317,ASSAM,KARIMGANJ,231.3,2662.1,4668.9,1745.7,1782859,125.1,0.9,69.2,5.8,14.8,589.9
18,300,ASSAM,KOKRAJHAR,408.6,2081.7,3825.4,1987.6,1708739,242.8,1.3,105.2,6.6,11.9,874.9
18,307,ASSAM,LAKHIMPUR,169.4,2061.6,3256.9,3245.2,1520575,514,2.6,334.9,14.8,12,1061
18,760,ASSAM,MAJULI,9.2,198,291.7,292.3,193607,39.6,0,22.5,0.8,0.9,135.7
18,304,ASSAM,MORIGAON,121.6,1215.3,1929.6,1493,1482886,200.3,0.8,74.2,6.1,11.1,443.7
18,305,ASSAM,NAGAON,462.4,4514.7,8418.5,6167.2,3050773,718.1,5.3,608.2,22,25.1,1894.3
18,323,ASSAM,NALBARI,123.7,2028.7,3291.2,2390.1,1280693,441.2,36.7,137.7,15.4,12.2,808.2
18,315,ASSAM,DIMA HASAO,87,712.5,1248.8,481.7,372552,43.6,3.6,33.4,1.8,0.8,315.2
18,311,ASSAM,SIBSAGAR,225.1,2668.5,5422.5,3644.4,1036403,397.9,4.2,392.9,16.6,24,1384.8
18,306,ASSAM,SONITPUR,441.2,3315.2,6609.9,4613.7,1904311,809.5,4,468.6,29.5,24.7,1270.2
18,758,ASSAM,SOUTH SALMARA-MANKACHAR,26.9,322.7,444.9,245.8,682746,40.3,0.1,7.8,0.6,0.8,81
18,309,ASSAM,TINSUKIA,651.4,4204.4,9121.4,5234.7,1848126,560.5,7.1,592.7,28.5,31,1072.1
18,326,ASSAM,UDALGURI,110.9,1068.8,1652.6,1217.6,1217007,174.1,1,26.3,12.1,5.4,534.7
18,759,ASSAM,WEST KARBI ANGLONG,11.1,160,220.7,184.8,471259,13,0.2,3.6,0.7,0.5,139
10,209,BIHAR,ARARIA,370.5,3768.8,5403,3962.5,4714711,258,5.1,124.4,24,35.9,913.1
10,240,BIHAR,ARWAL,51.3,1356.9,1979.4,676.4,763022,54.2,1.1,29.1,8.2,5,196.5
10,235,BIHAR,AURANGABAD,412.6,5269.8,8697.2,3672.1,4061661,384.3,6.1,143.3,43.8,19.2,897.6
10,225,BIHAR,BANKA,181.7,3155.1,4609.4,2175.9,3581383,164.9,3.3,63,14.7,9,467.1
10,222,BIHAR,BEGUSARAI,635.6,6650.6,11439.7,7769.1,4951050,697.8,7.6,301.4,62.2,51,1679.2
10,224,BIHAR,BHAGALPUR,838.6,9415.5,18325.6,8563.2,4498110,1402.3,18.3,356.6,92.6,68,1900.9
